drive id,wheel_velocity1,wheel_velocity2,wheel_current1,wheel_current2,pivot_angle,pivot_velocity,imu_ang_vel_x,imu_ang_vel_y,imu_ang_vel_z,imu_lin_acc_x,imu_lin_acc_y,imu_lin_acc_z
0,5E-06,0.007842,0.092335,-0.045324,1.536174,0.000184,-0.062851,-0.002131,-0.030893,0.105381,0.143701,-0.0479
1,0.007842,-8.2E-05,-0.045324,-0.035783,1.520571,0.000114,-0.002131,-0.030893,0.022371,0.143701,-0.0479,0.249082
2,-8.2E-05,2E-06,-0.035783,0.019224,1.562192,0.001905,-0.030893,0.022371,0.013848,-0.0479,0.249082,-0.03832
3,2E-06,-0.003107,0.019224,0.123286,1.586304,-0.000431,0.022371,0.013848,-0.027697,0.249082,-0.03832,9.608819
0,5E-06,0.007842,0.092335,-0.045324,1.540716,0.000184,-0.062851,-0.002131,-0.030893,0.105381,0.143701,-0.0479
1,0.007842,-8.2E-05,-0.045324,-0.035783,1.520966,0.000114,-0.002131,-0.030893,0.022371,0.143701,-0.0479,0.249082
2,-8.2E-05,2E-06,-0.035783,0.019224,1.564589,0.001905,-0.030893,0.022371,0.013848,-0.0479,0.249082,-0.03832
3,2E-06,-0.003107,0.019224,0.123286,1.579964,-0.000431,0.022371,0.013848,-0.027697,0.249082,-0.03832,9.608819
0,5E-06,0.007842,0.092335,-0.045324,1.544311,0.000184,-0.062851,-0.002131,-0.030893,0.105381,0.143701,-0.0479
1,0.007842,-8.2E-05,-0.045324,-0.035783,1.524322,0.000114,-0.002131,-0.030893,0.022371,0.143701,-0.0479,0.249082
2,-8.2E-05,2E-06,-0.035783,0.019224,1.570845,0.001905,-0.030893,0.022371,0.013848,-0.0479,0.249082,-0.03832
3,2E-06,-0.003107,0.019224,0.123286,1.574979,-0.000431,0.022371,0.013848,-0.027697,0.249082,-0.03832,9.608819
0,5E-06,0.007842,0.092335,-0.045324,1.548517,0.000184,-0.062851,-0.002131,-0.030893,0.105381,0.143701,-0.0479
1,0.007842,-8.2E-05,-0.045324,-0.035783,1.530074,0.000114,-0.002131,-0.030893,0.022371,0.143701,-0.0479,0.249082
2,-8.2E-05,2E-06,-0.035783,0.019224,1.57885,0.001905,-0.030893,0.022371,0.013848,-0.0479,0.249082,-0.03832
3,2E-06,-0.003107,0.019224,0.123286,1.574799,-0.000431,0.022371,0.013848,-0.027697,0.249082,-0.03832,9.608819
0,5E-06,0.007842,0.092335,-0.045324,1.550399,0.000184,-0.062851,-0.002131,-0.030893,0.105381,0.143701,-0.0479
1,0.007842,-8.2E-05,-0.045324,-0.035783,1.535335,0.000114,-0.002131,-0.030893,0.022371,0.143701,-0.0479,0.249082
2,-8.2E-05,2E-06,-0.035783,0.019224,1.584722,0.001905,-0.030893,0.022371,0.013848,-0.0479,0.249082,-0.03832
3,2E-06,-0.003107,0.019224,0.123286,1.574871,-0.000431,0.022371,0.013848,-0.027697,0.249082,-0.03832,9.608819
0,5E-06,0.007842,0.092335,-0.045324,1.550088,0.000184,-0.062851,-0.002131,-0.030893,0.105381,0.143701,-0.0479
1,0.007842,-8.2E-05,-0.045324,-0.035783,1.539937,0.000114,-0.002131,-0.030893,0.022371,0.143701,-0.0479,0.249082
2,-8.2E-05,2E-06,-0.035783,0.019224,1.58906,0.001905,-0.030893,0.022371,0.013848,-0.0479,0.249082,-0.03832
3,2E-06,-0.003107,0.019224,0.123286,1.581702,-0.000431,0.022371,0.013848,-0.027697,0.249082,-0.03832,9.608819
0,5E-06,0.007842,0.092335,-0.045324,1.548422,0.000184,-0.062851,-0.002131,-0.030893,0.105381,0.143701,-0.0479
